***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:20:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:21:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:21:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:22:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:22:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:22:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:23:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:23:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:24:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:24:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:55:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:55:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:55:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:56:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:56:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:57:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:57:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;9:57:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:58:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:58:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;9:59:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:59:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:00:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:00:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:00:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:01:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:01:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:02:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:02:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:02:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:03:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:03:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:04:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:04:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:05:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:05:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:05:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:06:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:06:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:07:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:07:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:07:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:08:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:08:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:09:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:09:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:10:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:10:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:10:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:11:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:11:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:12:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:12:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:12:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:13:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:13:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:14:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:14:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:15:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:15:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:15:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:16:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:16:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:17:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:17:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:17:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:18:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:18:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:19:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:19:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:50:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:50:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:50:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:51:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:51:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:52:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:52:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:52:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:53:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:53:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:54:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:54:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:55:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:55:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:55:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:56:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:56:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:57:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;10:57:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;10:57:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;10:58:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;10:58:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;10:59:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;10:59:35;;;;;;
