***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:17:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:17:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:18:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:18:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:19:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:19:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:20:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:20:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:20:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:21:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:21:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:22:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:22:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:22:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:23:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:23:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:24:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:24:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:25:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:25:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:25:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:26:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:26:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:27:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:27:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:27:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:28:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:28:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:29:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:29:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:30:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:30:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:30:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:31:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:31:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:32:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:32:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:32:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:33:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:33:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:34:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:34:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:35:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:35:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:35:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:36:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:36:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:37:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;17:37:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;17:37:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;17:38:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;17:38:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;17:39:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;17:39:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:10:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:10:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:10:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:11:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:11:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:12:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:12:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:12:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:13:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:13:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:14:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:14:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:15:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:15:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:15:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:16:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:16:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:17:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:17:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:17:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:18:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:18:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:19:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:19:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:20:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:20:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:20:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:21:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:21:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:22:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:22:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:22:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:23:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:23:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:24:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:24:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:25:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:25:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:25:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:26:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:26:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:27:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:27:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:27:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:28:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:28:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:29:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:29:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:30:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:30:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:30:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:31:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:31:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:32:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;18:32:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;18:32:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;18:33:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;18:33:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;18:34:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;18:34:35;;;;;;
