***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
R 764;Karlstejn_kolej_A;Beroun_kolej_A;12:01:30;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;12:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;12:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;12:11:30;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;12:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;12:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;12:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;12:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;12:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;12:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;13:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:01:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;13:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;13:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;13:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;13:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;13:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;13:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;13:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;13:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;13:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;14:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;14:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;14:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;14:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;14:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;14:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;14:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;14:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;14:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;14:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;15:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;15:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;15:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;15:03:00;;;;;;
