24;SK Sigma Olomouc;FC Slovan Liberec
24;AC Sparta Praha;FC Viktoria Plzeò
24;FK Jablonec;FK Teplice
24;Slezský FC Opava;1. FC Slovácko
25;AC Sparta Praha;SK Sigma Olomouc
25;FC Slovan Liberec;Fastav Zlín
25;Baník Ostrava;FK Mladá Boleslav
25;FK Dukla Praha;MFD OKD Karviná
25;1. FK Pøíbram;SK Slavia Praha
25;Bohemians Praha 1905;Slezský FC Opava
25;1. FC Slovácko;FK Jablonec
25;FK Teplice;FC Viktoria Plzeò
26;FC Viktoria Plzeò;Bohemians Praha 1905
26;FK Jablonec;1. FK Pøíbram
26;MFD OKD Karviná;Baník Ostrava
26;Slezský FC Opava;FK Dukla Praha
26;SK Slavia Praha;FC Slovan Liberec
26;FK Mladá Boleslav;AC Sparta Praha
26;Fastav Zlín;SK Sigma Olomouc
26;FK Teplice;1. FC Slovácko
27;AC Sparta Praha;Fastav Zlín
27;FK Dukla Praha;SK Slavia Praha
27;SK Sigma Olomouc;MFD OKD Karviná
27;Bohemians Praha 1905;FK Mladá Boleslav
27;1. FK Pøíbram;Slezský FC Opava
27;FC Slovan Liberec;FK Jablonec
27;1. FC Slovácko;FC Viktoria Plzeò
27;Baník Ostrava;FK Teplice
28;FK Teplice;Bohemians Praha 1905
28;1. FC Slovácko;1. FK Pøíbram
28;FC Viktoria Plzeò;Baník Ostrava
28;FK Jablonec;FK Dukla Praha
28;FK Mladá Boleslav;FC Slovan Liberec
28;SK Slavia Praha;AC Sparta Praha
28;Slezský FC Opava;SK Sigma Olomouc
28;MFD OKD Karviná;Fastav Zlín
29;Fastav Zlín;SK Slavia Praha
29;AC Sparta Praha;MFD OKD Karviná
29;FK Dukla Praha;FK Mladá Boleslav
29;Baník Ostrava;Slezský FC Opava
29;Bohemians Praha 1905;FK Jablonec
29;1. FK Pøíbram;FC Viktoria Plzeò
29;SK Sigma Olomouc;FK Teplice
29;FC Slovan Liberec;1. FC Slovácko
30;1. FC Slovácko;Bohemians Praha 1905
30;FK Teplice;1. FK Pøíbram
30;FK Jablonec;Baník Ostrava
30;FC Viktoria Plzeò;FK Dukla Praha
30;MFD OKD Karviná;FC Slovan Liberec
30;Slezský FC Opava;AC Sparta Praha
30;SK Slavia Praha;SK Sigma Olomouc
30;FK Mladá Boleslav;Fastav Zlín
